Wavelength [$\mu$m],Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune
0.29999998,0.3274856,0.0033996843,0.031531803,0.21720019,0.27050075,0.5412005,0.77140355
0.30111808,0.40334603,0.003971122,0.03127601,0.21881714,0.2394785,0.5321662,0.5721002
0.30223617,0.3316551,0.0048445924,0.031019699,0.23831391,0.23996046,0.5173214,0.57065344
0.30335426,0.38446724,0.0066675358,0.030873448,0.26777986,0.24626008,0.52359015,0.5742458
0.30447236,0.3341812,0.008352722,0.03062952,0.27039343,0.24192399,0.5215095,0.5822535
0.30559042,0.36975387,0.012796975,0.03044071,0.27046648,0.23348323,0.5195973,0.5705453
0.3067085,0.32684115,0.015939405,0.030310977,0.2726058,0.22991757,0.5384402,0.58159786
0.3078266,0.34803954,0.024493959,0.03023922,0.27073348,0.23180345,0.52944976,0.57955617
0.3089447,0.32707903,0.030154712,0.030099407,0.26877448,0.23104683,0.5252148,0.58020467
0.3100628,0.33311144,0.045541897,0.029966015,0.272157,0.2361256,0.5283512,0.5961224
0.3111809,0.3253821,0.053064793,0.0299115,0.27175736,0.23573823,0.5149827,0.56846356
0.31229898,0.32908896,0.074089944,0.029788302,0.26987678,0.23450205,0.518705,0.5713647
0.31341708,0.32214338,0.082558155,0.02965885,0.2706,0.23406582,0.51443976,0.5680854
0.31453514,0.32377553,0.11236609,0.029536182,0.27166757,0.23226754,0.5263431,0.58069855
0.31565323,0.31893343,0.11633692,0.029503977,0.27101943,0.22973993,0.52275753,0.5711971
0.31677133,0.3176703,0.14720951,0.029387463,0.27318597,0.22927879,0.5242804,0.5753804
0.31788942,0.315254,0.14888959,0.029268749,0.27139592,0.22547239,0.519616,0.57128423
0.31900752,0.3141249,0.1902513,0.029155048,0.27365565,0.22619624,0.5219249,0.572055
0.3201256,0.31133303,0.17875567,0.029048717,0.273386,0.22376618,0.5222266,0.5702266
0.3212437,0.31252596,0.23363902,0.02899491,0.27424368,0.22316554,0.53101593,0.582505
0.3223618,0.31436107,0.2012828,0.028923618,0.27434275,0.221386,0.52119005,0.57343733
0.32347986,0.31644443,0.2552836,0.028821265,0.27638024,0.22081028,0.5282806,0.5789616
0.32459795,0.31715712,0.23231502,0.02871807,0.27724028,0.22015052,0.52094644,0.5715515
0.32571605,0.31837878,0.23963155,0.028615795,0.27895185,0.21897775,0.5175369,0.5637622
0.32683414,0.31973752,0.27372047,0.02860142,0.2787,0.21745732,0.5107573,0.55742323
0.32795224,0.32077694,0.24517253,0.028505951,0.2808328,0.21719997,0.5170104,0.5654193
0.32907033,0.32180697,0.28353676,0.028417885,0.282,0.21622966,0.5205242,0.5687242
0.33018842,0.3231736,0.28344902,0.028338727,0.28247684,0.21461159,0.520461,0.5690313
0.33130652,0.3255206,0.2781687,0.0283709,0.28415325,0.21369348,0.5234805,0.57292664
0.33242458,0.32756355,0.29790854,0.028352508,0.28641227,0.21346928,0.52700615,0.575843
0.33354267,0.32997945,0.29695362,0.028333457,0.28755668,0.21257132,0.532198,0.5817693
0.33466077,0.33262742,0.30085704,0.028316403,0.28733483,0.21047406,0.52323484,0.57166976
0.33577886,0.3348333,0.30484977,0.028300751,0.28902847,0.20955773,0.52872354,0.5788341
