wavelength,solar_flux,p_titan,p_uranus,p_neptune
3500,108.5,69,495,529
3510,107.5,65,465,536
3520,103.3,58,483,521
3530,102.4,83,488,496
3540,109.1,55,480,488
3550,115.5,80,467,528
3560,112.5,74,447,505
3570,95.2,64,475,510
3580,81.1,56,467,480
3590,95.5,61,469,487
3600,123.5,92,466,483
3610,98.6,76,465,465
3620,109.7,66,449,512
3630,113.2,60,465,470
3640,112.0,77,474,506
3650,115.1,71,456,496
3660,142.2,73,453,478
3670,136.6,66,467,485
3680,125.2,75,461,493
3690,133.7,76,476,500
3700,129.1,73,475,519
3710,126.5,67,478,499
3720,123.2,76,459,482
3730,112.5,72,473,492
3740,107.9,82,491,511
3750,115.0,72,494,522
3760,121.1,76,469,514
3770,131.0,73,486,497
3780,154.3,74,480,494
3790,126.6,74,480,499
3800,124.3,78,484,509
3810,132.2,76,488,507
3820,96.2,80,510,552
3830,78.1,70,523,556
3840,93.0,83,506,532
3850,115.5,77,498,519
3860,104.2,79,521,550
3870,110.8,76,499,517
3880,108.0,77,485,510
3890,116.3,80,501,523
3900,130.6,80,505,519
3910,142.4,83,493,502
3920,127.0,81,490,506
3930,68.0,81,526,542
3940,94.1,81,517,531
3950,135.3,83,510,519
3960,111.9,85,517,532
3970,75.4,80,524,547
3980,149.7,85,494,505
3990,171.2,83,486,497
4000,176.1,88,494,496
4010,182.8,85,498,505
4020,186.7,86,486,492
4030,178.1,86,482,487
4040,181.8,89,505,507
4050,178.0,88,510,513
4060,168.7,88,500,491
4070,176.0,88,496,494
4080,181.4,89,506,508
4090,195.3,90,502,503
4100,161.2,87,522,534
4110,190.6,89,505,497
4120,192.5,91,508,509
4130,182.6,91,509,510
4140,192.0,91,513,508
4150,188.5,92,517,513
4160,194.8,93,508,502
4170,182.1,93,522,519
4180,181.9,94,519,512
4190,185.9,95,511,500
4200,176.9,95,512,501
4210,194.4,96,519,509
4220,183.4,97,527,515
4230,178.4,97,522,509
4240,183.2,97,525,518
4250,178.4,97,526,515
4260,181.6,98,521,512
4270,168.8,98,543,528
4280,180.2,99,526,510
4290,165.9,100,535,521
4300,134.2,99,550,536
4310,141.4,99,530,516
4320,191.1,102,545,523
4330,193.0,103,532,510
4340,163.0,102,530,517
4350,189.4,104,531,509
4360,202.3,105,523,498
4370,195.8,105,526,500
4380,178.9,107,539,513
4390,184.7,106,533,506
4400,188.7,108,518,477
4410,198.9,108,487,440
4420,208.3,109,500,459
4430,202.9,110,533,499
4440,206.0,111,536,506
4450,205.6,112,548,520
4460,193.7,111,546,514
4470,211.6,113,541,510
4480,210.7,113,552,520
4490,212.9,114,549,515
4500,222.5,115,542,509
4510,225.0,116,549,515
4520,216.0,117,554,517
4530,198.5,117,550,512
4540,216.2,119,543,504
4550,206.7,119,548,506
4560,220.8,120,548,502
4570,219.8,121,545,498
4580,211.4,122,547,500
4590,213.0,122,530,474
4600,210.5,123,526,468
4610,220.5,124,549,497
4620,219.4,125,559,512
4630,217.5,126,563,515
4640,212.5,127,569,520
4650,207.9,128,565,514
4660,213.7,128,563,511
4670,201.7,129,567,513
4680,207.5,130,575,521
4690,210.5,131,575,524
4700,200.5,132,581,527
4710,203.9,132,574,519
4720,218.6,133,572,517
4730,205.9,135,583,525
4740,213.6,135,577,519
4750,214.3,137,576,515
4760,209.8,137,577,512
4770,213.1,138,569,505
4780,218.1,140,568,500
4790,213.9,140,554,485
4800,217.2,141,548,473
4810,216.1,141,531,453
4820,217.9,143,528,445
4830,213.7,143,522,437
4840,209.1,144,502,418
4850,206.1,145,443,357
4860,162.3,145,461,370
4870,190.2,145,499,408
4880,206.1,147,547,468
4890,195.0,148,583,509
4900,213.3,149,593,520
4910,205.7,150,597,523
4920,189.7,151,606,531
4930,208.6,152,592,517
4940,202.8,152,584,512
4950,212.0,154,586,514
4960,204.6,154,584,513
4970,206.3,156,594,520
4980,194.9,157,615,538
4990,205.1,157,589,510
5000,197.5,159,598,524
5010,192.8,160,587,509
5020,192.9,161,585,503
5030,203.3,161,576,489
5040,189.6,163,582,493
5050,198.1,165,570,478
5060,207.9,166,558,465
5070,198.8,167,547,452
5080,188.8,168,539,440
5090,201.2,169,514,413
5100,192.3,170,514,412
5110,195.6,171,519,417
5120,197.9,174,559,461
5130,190.2,173,583,493
5140,185.2,174,611,520
5150,190.0,176,612,525
5160,191.1,177,620,531
5170,154.8,177,622,533
5180,178.8,181,617,522
5190,183.2,179,583,486
5200,191.4,181,574,477
5210,189.0,180,566,469
5220,194.0,183,563,465
5230,183.5,183,566,468
5240,198.1,184,567,473
5250,193.5,186,587,493
5260,190.0,188,604,510
5270,169.9,186,594,503
5280,190.2,189,597,502
5290,202.4,190,589,496
5300,191.1,190,592,496
5310,201.6,192,582,484
5320,193.7,194,573,471
5330,184.1,191,536,435
5340,191.0,194,539,433
5350,193.8,194,510,402
5360,199.4,196,495,384
5370,184.3,196,460,348
5380,194.1,196,429,320
5390,189.4,198,416,306
5400,184.6,196,387,280
5410,184.2,194,349,251
5420,190.3,195,321,232
5430,185.6,195,310,225
5440,195.3,197,319,229
5450,191.5,201,374,268
5460,190.0,206,446,330
5470,190.0,208,510,399
5480,184.4,210,557,454
5490,190.0,212,588,489
5500,187.9,214,604,506
5510,186.9,214,608,512
5520,192.2,214,602,504
5530,184.3,215,596,499
5540,189.0,216,584,484
5550,191.9,217,575,472
5560,187.9,218,572,468
5570,181.6,219,573,469
5580,186.1,219,574,470
5590,175.9,221,580,477
5600,180.2,222,587,484
5610,190.3,223,582,479
5620,183.2,222,578,474
5630,188.8,224,577,472
5640,184.2,223,572,467
5650,186.0,226,561,451
5660,179.1,225,547,434
5670,188.6,225,526,407
5680,186.9,227,515,395
5690,183.8,227,500,381
5700,185.3,228,490,368
5710,176.1,228,480,357
5720,188.9,227,457,335
5730,189.4,228,449,323
5740,190.5,228,424,301
5750,186.2,228,408,285
5760,185.7,227,396,276
5770,189.8,228,405,281
5780,184.2,230,415,290
5790,185.3,231,432,311
5800,187.9,235,461,338
5810,188.2,235,493,373
5820,190.4,237,515,399
5830,187.3,237,536,425
5840,187.7,238,547,439
5850,188.1,239,563,454
5860,184.3,239,562,455
5870,189.3,239,559,454
5880,187.4,241,564,459
5890,168.5,243,574,465
5900,179.5,242,522,407
5910,181.2,247,504,378
5920,181.6,247,483,355
5930,181.7,245,459,328
5940,182.4,246,433,304
5950,178.3,247,417,287
5960,182.4,246,402,273
5970,182.0,246,408,279
5980,178.5,248,411,282
5990,178.6,249,423,293
6000,177.8,250,437,308
6010,176.8,250,448,319
6020,173.2,254,471,344
6030,178.7,254,484,358
6040,178.6,256,486,361
6050,180.8,254,471,346
6060,176.1,256,450,323
6070,179.6,254,424,295
6080,173.2,253,389,261
6090,174.3,252,374,248
6100,171.6,253,368,242
6110,174.1,250,341,218
6120,172.1,245,298,187
6130,172.6,237,248,158
6140,168.9,232,214,141
6150,172.2,229,196,134
6160,164.7,227,185,129
6170,167.2,224,171,124
6180,171.6,217,140,111
6190,169.8,215,131,107
6200,172.7,215,135,108
6210,172.9,220,147,112
6220,170.3,225,169,121
6230,167.0,234,204,135
6240,168.8,243,252,159
6250,165.9,251,298,186
6260,166.5,260,347,222
6270,171.5,263,377,250
6280,163.7,273,414,288
6290,168.5,271,434,309
6300,162.9,275,457,336
6310,168.2,272,462,344
6320,163.4,275,471,356
6330,168.3,274,472,356
6340,165.3,275,469,356
6350,168.8,274,461,347
6360,163.3,276,453,340
6370,167.4,276,446,331
6380,167.4,275,439,320
6390,167.4,273,426,303
6400,163.1,274,421,295
6410,162.3,274,403,275
6420,163.2,273,389,263
6430,165.2,273,388,263
6440,163.7,275,396,270
6450,163.0,275,399,271
6460,163.4,273,394,266
6470,164.7,275,396,269
6480,165.1,275,384,255
6490,163.4,272,369,241
6500,161.2,270,363,234
6510,167.2,270,357,229
6520,163.3,274,361,233
6530,165.0,273,351,224
6540,165.3,269,331,206
6550,160.0,268,317,195
6560,132.8,266,302,180
6570,152.1,261,297,179
6580,161.5,262,289,173
6590,159.9,263,282,168
6600,161.4,263,279,166
6610,161.7,263,275,163
6620,163.1,260,260,154
6630,159.6,259,249,148
6640,160.0,259,248,147
6650,161.9,256,240,142
6660,160.2,254,222,132
6670,159.3,253,221,132
